-- v TEXTURE
320.15, 11.75, 322.45, 11.75, 324.38, 12.22, 325.93, 13.17
325.93, 13.17, 327.48, 14.12, 328.72, 15.42, 329.65, 17.07
329.65, 17.07, 330.58, 18.72, 331.25, 20.60, 331.65, 22.70
331.65, 22.70, 332.05, 24.80, 332.25, 27.02, 332.25, 29.35
332.25, 29.35, 332.25, 35.38, 331.14, 40.07, 328.93, 43.40
328.93, 43.40, 326.71, 46.73, 323.52, 48.40, 319.35, 48.40
319.35, 48.40, 316.65, 48.40, 314.44, 47.61, 312.72, 46.02
312.72, 46.02, 311.01, 44.44, 309.92, 42.23, 309.45, 39.40
320.20, 31.30, 321.60, 31.30, 322.85, 30.95, 323.95, 30.25
323.95, 30.25, 325.05, 29.55, 325.92, 28.60, 326.55, 27.40
326.55, 27.40, 327.18, 26.20, 327.50, 24.87, 327.50, 23.40
327.50, 23.40, 327.50, 21.90, 327.18, 20.55, 326.55, 19.35
326.55, 19.35, 325.92, 18.15, 325.05, 17.20, 323.95, 16.50
323.95, 16.50, 322.85, 15.80, 321.60, 15.45, 320.20, 15.45
320.20, 15.45, 318.00, 15.45, 316.28, 16.21, 315.05, 17.72
315.05, 17.72, 313.82, 19.24, 313.20, 21.13, 313.20, 23.40
313.20, 23.40, 313.20, 25.63, 313.82, 27.51, 315.05, 29.02
315.05, 29.02, 316.28, 30.54, 318.00, 31.30, 320.20, 31.30
-- . TEXTURE
348.40, 40.70, 348.40, 40.70, 355.20, 40.70, 355.20, 40.70
355.20, 40.70, 355.20, 40.70, 355.20, 47.50, 355.20, 47.50
355.20, 47.50, 355.20, 47.50, 348.40, 47.50, 348.40, 47.50
348.40, 47.50, 348.40, 47.50, 348.40, 40.70, 348.40, 40.70
